date_local,parameter,sample_duration,units_of_measure,arithmetic_mean,aqi
2018-12-31,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),3.0,13.0
2018-12-31,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),3.0,13.0
2018-12-31,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),3.0,13.0
2018-12-31,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),3.0,13.0
2018-12-30,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),7.6,32.0
2018-12-30,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),7.6,32.0
2018-12-30,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),7.6,32.0
2018-12-30,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),7.6,32.0
2018-12-29,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),7.3,30.0
2018-12-29,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),7.3,30.0
2018-12-29,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),7.3,30.0
2018-12-29,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),7.3,30.0
2018-12-28,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),1.0,4.0
2018-12-28,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),1.0,4.0
2018-12-28,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),1.0,4.0
2018-12-28,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),1.0,4.0
2018-12-27,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),3.5,15.0
2018-12-27,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),3.5,15.0
2018-12-27,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),3.5,15.0
2018-12-27,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),3.5,15.0
2018-12-26,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),8.3,35.0
2018-12-26,PM2.5 - Local Conditions,24-HR BLK AVG,Micrograms/cubic meter (LC),8.3,35.0
