date_local,parameter,arithmetic_mean,aqi
2018-01-02,Carbon monoxide,0.24,3.0
2018-01-03,Carbon monoxide,0.358333,6.0
2018-01-04,Carbon monoxide,0.147059,2.0
2018-01-05,Carbon monoxide,0.194444,2.0
2018-01-06,Carbon monoxide,0.170833,2.0
2018-01-07,Carbon monoxide,0.291667,3.0
2018-01-08,Carbon monoxide,0.345833,6.0
2018-01-09,Carbon monoxide,0.375,6.0
2018-01-10,Carbon monoxide,0.633333,10.0
2018-01-11,Carbon monoxide,0.3375,5.0
2018-01-12,Carbon monoxide,0.229167,5.0
2018-01-13,Carbon monoxide,0.2,2.0
2018-01-14,Carbon monoxide,0.208333,3.0
2018-01-15,Carbon monoxide,0.358333,5.0
2018-01-16,Carbon monoxide,0.225,3.0
2018-01-17,Carbon monoxide,0.252941,5.0
2018-01-18,Carbon monoxide,0.577778,8.0
2018-01-19,Carbon monoxide,0.4125,6.0
2018-01-20,Carbon monoxide,0.3125,5.0
2018-01-21,Carbon monoxide,0.3125,5.0
2018-01-22,Carbon monoxide,0.304167,5.0
2018-01-23,Carbon monoxide,0.258333,5.0
2018-01-24,Carbon monoxide,0.308333,5.0
2018-01-25,Carbon monoxide,0.620833,10.0
2018-01-26,Carbon monoxide,0.582353,9.0
2018-01-27,Carbon monoxide,0.370833,6.0
2018-01-28,Carbon monoxide,0.266667,5.0
2018-01-29,Carbon monoxide,0.494118,9.0
2018-01-30,Carbon monoxide,0.254167,6.0
2018-01-31,Carbon monoxide,0.375,6.0
2018-02-01,Carbon monoxide,0.307692,5.0
2018-02-02,Carbon monoxide,0.206667,3.0
2018-02-03,Carbon monoxide,0.3,3.0
2018-02-04,Carbon monoxide,0.325,5.0
2018-02-05,Carbon monoxide,0.25,6.0
2018-02-06,Carbon monoxide,0.370833,6.0
2018-02-07,Carbon monoxide,0.325,5.0
2018-02-08,Carbon monoxide,0.425,8.0
2018-02-09,Carbon monoxide,0.6375,10.0
2018-02-10,Carbon monoxide,0.483333,7.0
2018-02-11,Carbon monoxide,0.3125,6.0
2018-02-12,Carbon monoxide,0.223529,3.0
2018-02-13,Carbon monoxide,0.3,6.0
2018-02-14,Carbon monoxide,0.416667,6.0
2018-02-15,Carbon monoxide,0.370833,5.0
2018-02-16,Carbon monoxide,0.308333,5.0
2018-02-17,Carbon monoxide,0.295833,5.0
2018-02-18,Carbon monoxide,0.354167,5.0
2018-02-19,Carbon monoxide,0.408333,6.0
2018-02-20,Carbon monoxide,0.405882,6.0
2018-02-21,Carbon monoxide,0.327778,5.0
2018-02-22,Carbon monoxide,0.404167,6.0
2018-02-23,Carbon monoxide,0.508333,7.0
2018-02-24,Carbon monoxide,0.379167,6.0
2018-02-25,Carbon monoxide,0.325,5.0
2018-02-26,Carbon monoxide,0.341667,7.0
2018-02-27,Carbon monoxide,0.704167,13.0
2018-02-28,Carbon monoxide,0.506667,7.0
2018-03-01,Carbon monoxide,0.308333,5.0
2018-03-02,Carbon monoxide,0.2625,3.0
2018-03-03,Carbon monoxide,0.3,3.0
2018-03-04,Carbon monoxide,0.329167,5.0
2018-03-05,Carbon monoxide,0.491667,7.0
2018-03-06,Carbon monoxide,0.495833,7.0
2018-03-07,Carbon monoxide,0.3875,6.0
2018-03-08,Carbon monoxide,0.454167,8.0
2018-03-09,Carbon monoxide,0.811765,11.0
2018-03-10,Carbon monoxide,0.545833,7.0
2018-03-11,Carbon monoxide,0.45,6.0
2018-03-12,Carbon monoxide,0.4,5.0
2018-03-13,Carbon monoxide,0.4,7.0
2018-03-14,Carbon monoxide,0.25,5.0
2018-03-15,Carbon monoxide,0.366667,5.0
2018-03-16,Carbon monoxide,0.533333,9.0
2018-03-17,Carbon monoxide,0.379167,5.0
2018-03-18,Carbon monoxide,0.308333,5.0
2018-03-19,Carbon monoxide,0.404167,6.0
2018-03-20,Carbon monoxide,0.370833,6.0
2018-03-21,Carbon monoxide,0.345833,5.0
2018-03-22,Carbon monoxide,0.483333,7.0
2018-03-23,Carbon monoxide,0.511111,7.0
2018-03-24,Carbon monoxide,0.525,7.0
2018-03-25,Carbon monoxide,0.4125,6.0
2018-03-26,Carbon monoxide,0.461111,7.0
2018-03-27,Carbon monoxide,0.3375,5.0
2018-03-28,Carbon monoxide,0.379167,6.0
2018-03-29,Carbon monoxide,0.383333,5.0
2018-03-30,Carbon monoxide,0.341667,8.0
2018-03-31,Carbon monoxide,0.641667,11.0
2018-04-01,Carbon monoxide,0.454167,6.0
2018-04-02,Carbon monoxide,0.35,5.0
2018-04-03,Carbon monoxide,0.4375,7.0
2018-04-04,Carbon monoxide,0.208333,3.0
2018-04-05,Carbon monoxide,0.341176,8.0
2018-04-06,Carbon monoxide,0.622222,9.0
2018-04-07,Carbon monoxide,0.220833,3.0
2018-04-08,Carbon monoxide,0.225,3.0
2018-04-09,Carbon monoxide,0.229167,3.0
